City,Country,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
Ushuaia,AR,1592927928,33.8,90,90,-54.8,-68.3,5.23
Albany,US,1592928039,86.0,74,51,42.6,-73.97,9.19
São Filipe,CV,1592928146,81.34,6,58,14.9,-24.5,15.64
Qaanaaq,GL,1592928039,37.76,8,87,77.48,-69.36,0.87
Kalmunai,LK,1592928071,83.73,100,75,7.42,81.82,5.68
Kapaa,US,1592928035,75.2,20,83,22.08,-159.32,12.75
Omsukchan,RU,1592928146,57.18,0,75,62.53,155.8,2.51
Rikitea,PF,1592928037,69.66,92,52,-23.12,-134.97,10.94
Saldanha,ZA,1592928045,66.2,0,52,-33.01,17.94,4.7
Talnakh,RU,1592928033,60.8,36,55,69.49,88.4,6.71
Bastogne,BE,1592928146,79.0,0,54,50.0,5.72,1.01
Fortuna,US,1592928039,64.0,1,87,40.6,-124.16,5.17
Hermanus,ZA,1592928041,59.0,28,81,-34.42,19.23,10.8
Boa Viagem,BR,1592927946,85.06,0,49,-5.13,-39.73,8.41
Cayenne,GF,1592928048,82.4,75,78,4.93,-52.33,4.7
Vao,NC,1592928077,72.37,26,85,-22.67,167.48,8.48
Yaan,NG,1592928147,84.92,70,66,7.38,8.57,4.52
Safranbolu,TR,1592928147,70.3,52,74,41.25,32.69,4.79
Mataura,NZ,1592928033,39.0,8,83,-46.19,168.86,3.0
Rocha,UY,1592928051,69.21,99,89,-34.48,-54.33,13.02
Thompson,CA,1592927915,69.8,20,64,55.74,-97.86,4.7
College,US,1592928065,50.0,90,93,64.86,-147.8,6.93
Codrington,AU,1592928044,52.84,58,89,-38.27,141.97,2.89
Olafsvik,IS,1592928046,51.21,14,71,64.89,-23.71,7.83
New Norfolk,AU,1592928041,53.01,100,91,-42.78,147.06,1.99
Padang,ID,1592928094,79.03,99,73,-0.95,100.35,4.97
Bengkulu,ID,1592928034,76.6,99,86,-3.8,102.27,6.67
Kruisfontein,ZA,1592928069,53.29,0,79,-34.0,24.73,1.57
Ribeira Grande,PT,1592928037,69.8,40,73,38.52,-28.7,12.75
Chokurdakh,RU,1592928038,59.86,32,42,70.63,147.92,6.53
Lorengau,PG,1592928052,81.66,53,77,-2.02,147.27,4.61
Lappeenranta,FI,1592928029,82.99,0,27,61.06,28.19,3.36
Bambous Virieux,MU,1592928055,71.6,40,83,-20.34,57.76,8.05
Jamestown,US,1592927776,73.99,75,78,42.1,-79.24,9.17
Bayeux,BR,1592927998,84.2,40,62,-7.12,-34.93,13.87
Punta Arenas,CL,1592928042,39.2,52,75,-53.15,-70.92,21.92
Arraial do Cabo,BR,1592928006,82.4,40,51,-22.97,-42.03,16.11
Broken Hill,AU,1592928148,50.0,90,71,-31.95,141.43,9.55
Bredasdorp,ZA,1592928040,62.6,34,63,-34.53,20.04,3.65
Ixtapa,MX,1592928096,86.0,75,62,20.7,-105.2,2.86
Esperance,AU,1592928040,55.4,75,82,-33.87,121.9,16.11
Ivaiporã,BR,1592928149,76.12,0,49,-24.25,-51.68,9.53
Yar-Sale,RU,1592928149,49.84,50,61,66.83,70.83,9.73
Kamwenge,UG,1592928149,69.33,79,77,0.19,30.45,2.35
Klaksvík,FO,1592928036,53.6,24,87,62.23,-6.59,13.87
Khatanga,RU,1592928072,69.19,75,60,71.97,102.5,6.08
Souillac,MU,1592928053,71.6,40,83,-20.52,57.52,8.05
Pangoa,PE,1592928149,83.26,90,53,-12.12,-73.0,2.19
Saskylakh,RU,1592928035,77.34,72,35,71.92,114.08,7.31
Port Elizabeth,ZA,1592928008,64.4,0,55,-33.92,25.57,8.05
Cape Town,ZA,1592927939,62.6,19,59,-33.93,18.42,12.75
Nikolskoye,RU,1592928035,75.99,0,36,59.7,30.79,11.18
Chernyshevskiy,RU,1592928150,52.29,52,92,63.01,112.47,3.87
Ancud,CL,1592928071,45.0,75,100,-41.87,-73.82,6.93
Atuona,PF,1592928048,78.73,6,71,-9.8,-139.03,17.22
Burgos,ES,1592928150,93.0,20,20,42.34,-3.71,4.7
Nome,US,1592928057,46.4,20,61,64.5,-165.41,6.93
Gharavŭtí,TJ,1592928150,89.6,20,27,37.57,68.45,4.47
Vaini,TO,1592928037,71.6,20,94,-21.2,-175.2,4.7
